,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,geometry
206,Qingyuan,Qingyuan,23.6842,113.0507,China,CN,CHN,Guangdong,minor,3874000.0,1156135890,POINT (113.0507 23.6842)
375,Laibin,Laibin,23.7333,109.2333,China,CN,CHN,Guangxi,,2099711.0,1156925734,POINT (109.2333 23.7333)
251,Heyuan,Heyuan,23.7503,114.6923,China,CN,CHN,Guangdong,minor,3093900.0,1156665165,POINT (114.6923 23.7503)
330,Lincang,Lincang,23.8864,100.0871,China,CN,CHN,Yunnan,,2429497.0,1156044130,POINT (100.0871 23.8864)
229,Baicheng,Baicheng,23.901,106.6194,China,CN,CHN,Guangxi,minor,3466758.0,1156981113,POINT (106.6194 23.901)
180,Meizhou,Meizhou,24.2998,116.1191,China,CN,CHN,Guangdong,minor,4378800.0,1156361028,POINT (116.1191 24.2998)
212,Liuzhou,Liuzhou,24.3264,109.4281,China,CN,CHN,Guangxi,minor,3758704.0,1156360785,POINT (109.4281 24.3264)
343,Yuxi,Yuxi,24.3495,102.5432,China,CN,CHN,Yunnan,minor,2303518.0,1156682309,POINT (102.5432 24.3495)
396,Hezhou,Hezhou,24.4164,111.5478,China,CN,CHN,Guangxi,minor,1954072.0,1156459799,POINT (111.5478 24.4164)
237,Hechi,Hechi,24.6928,108.085,China,CN,CHN,Guangxi,,3369251.0,1156167204,POINT (108.085 24.6928)
262,Shaoguan,Shaoguan,24.8011,113.5927,China,CN,CHN,Guangdong,minor,2997600.0,1156617066,POINT (113.5927 24.8011)
95,Kunming,Kunming,25.0433,102.7061,China,CN,CHN,Yunnan,admin,6250000.0,1156477539,POINT (102.7061 25.0433)
315,Baoshan,Baoshan,25.1211,99.169,China,CN,CHN,Yunnan,,2506491.0,1156546994,POINT (99.169 25.1211)
162,Guilin,Guilin,25.2667,110.2833,China,CN,CHN,Guangxi,minor,4747963.0,1156235364,POINT (110.2833 25.2667)
105,Qujing,Qujing,25.5102,103.8029,China,CN,CHN,Yunnan,,5855055.0,1156747998,POINT (103.8029 25.5102)
161,Chenzhou,Chenzhou,25.7989,113.0267,China,CN,CHN,Hunan,minor,4754600.0,1156291915,POINT (113.0267 25.7989)
48,Ganzhou,Ganzhou,25.8292,114.9336,China,CN,CHN,Jiangxi,minor,8677600.0,1156832475,POINT (114.9336 25.8292)
558,Rongcheng,Rongcheng,26.2312,104.0966,China,CN,CHN,Yunnan,,1302891.0,1156122888,POINT (104.0966 26.2312)
344,Anshun,Anshun,26.2456,105.934,China,CN,CHN,Guizhou,,2297612.0,1156415948,POINT (105.934 26.2456)
624,Leiyang,Leiyang,26.4179,112.8457,China,CN,CHN,Hunan,minor,1151554.0,1156057789,POINT (112.8457 26.4179)
124,Yongzhou,Yongzhou,26.4515,111.5953,China,CN,CHN,Hunan,,5446100.0,1156694479,POINT (111.5953 26.4515)
183,Guiyang,Guiyang,26.5794,106.7078,China,CN,CHN,Guizhou,admin,4365000.0,1156932620,POINT (106.7078 26.5794)
626,Dadukou,Dadukou,26.5849,101.7149,China,CN,CHN,Sichuan,minor,1144000.0,1156901342,POINT (101.7149 26.5849)
589,Shuangshui,Shuangshui,26.5944,104.8333,China,CN,CHN,Guizhou,,1221000.0,1156070389,POINT (104.8333 26.5944)
578,Dayan,Dayan,26.8808,100.2208,China,CN,CHN,Yunnan,,1244769.0,1156828380,POINT (100.2208 26.8808)
72,Hengyang,Hengyang,26.8968,112.5857,China,CN,CHN,Hunan,,7300600.0,1156696884,POINT (112.5857 26.8968)
151,Ji’an,Ji'an,27.1172,114.9793,China,CN,CHN,Jiangxi,minor,4956600.0,1156278215,POINT (114.9793 27.1172)
71,Shaoyang,Shaoyang,27.2418,111.4725,China,CN,CHN,Hunan,,7302400.0,1156310366,POINT (111.4725 27.2418)
544,Liangshi,Liangshi,27.2578,111.7351,China,CN,CHN,Hunan,,1335900.0,1156366507,POINT (111.7351 27.2578)
89,Bijie,Bijie,27.3019,105.2863,China,CN,CHN,Guizhou,,6537498.0,1156018927,POINT (105.2863 27.3019)
139,Zhaotong,Zhaotong,27.3328,103.7144,China,CN,CHN,Yunnan,,5213521.0,1156924687,POINT (103.7144 27.3328)
150,Huaihua,Huaihua,27.5494,109.9592,China,CN,CHN,Hunan,,4983300.0,1156353465,POINT (109.9592 27.5494)
390,Pingxiang,Pingxiang,27.6333,113.85,China,CN,CHN,Jiangxi,minor,2001027.0,1156066465,POINT (113.85 27.6333)
678,Xishan,Xishan,27.6609,113.4946,China,CN,CHN,Hunan,minor,1060000.0,1156155575,POINT (113.4946 27.6609)
616,Lianyuan,Lianyuan,27.6961,111.6659,China,CN,CHN,Hunan,minor,1162928.0,1156490109,POINT (111.6659 27.6961)
97,Zunyi,Zunyi,27.705,106.9336,China,CN,CHN,Guizhou,,6127009.0,1156539782,POINT (106.9336 27.705)
252,Tongren,Tongren,27.7233,109.1885,China,CN,CHN,Guizhou,,3093204.0,1156803442,POINT (109.1885 27.7233)
204,Loudi,Loudi,27.7378,111.9974,China,CN,CHN,Hunan,,3941300.0,1156010654,POINT (111.9974 27.7378)
601,Xinyu,Xinyu,27.795,114.9242,China,CN,CHN,Jiangxi,minor,1186700.0,1156138735,POINT (114.9242 27.795)
100,Yichun,Yichun,27.8041,114.383,China,CN,CHN,Jiangxi,minor,6048700.0,1156229590,POINT (114.383 27.8041)
39,Zhoukou,Zhoukou,33.625,114.6418,China,CN,CHN,Henan,minor,9901000.0,1156272098,POINT (114.6418 33.625)
157,Pingdingshan,Pingdingshan,33.735,113.2999,China,CN,CHN,Henan,,4838000.0,1156735124,POINT (113.2999 33.735)
143,Bozhou,Bozhou,33.8626,115.7742,China,CN,CHN,Anhui,,5100000.0,1156356860,POINT (115.7742 33.8626)
337,Shangzhou,Shangzhou,33.868,109.9244,China,CN,CHN,Shaanxi,,2400000.0,1156091241,POINT (109.9244 33.868)
581,Yongcheng,Yongcheng,33.9317,116.4459,China,CN,CHN,Henan,,1240382.0,1156841802,POINT (116.4459 33.9317)
359,Huaibei,Huaibei,33.9562,116.789,China,CN,CHN,Anhui,,2158000.0,1156142626,POINT (116.789 33.9562)
191,Jiangguanchi,Jiangguanchi,34.0244,113.8201,China,CN,CHN,Henan,minor,4289000.0,1156235735,POINT (113.8201 34.0244)
631,Yingchuan,Yingchuan,34.1511,113.4733,China,CN,CHN,Henan,minor,1131896.0,1156748426,POINT (113.4733 34.1511)
77,Xi’an,Xi'an,34.2667,108.9,China,CN,CHN,Shaanxi,admin,7135000.0,1156244079,POINT (108.9 34.2667)
146,Xianyang,Xianyang,34.35,108.7167,China,CN,CHN,Shaanxi,minor,5040000.0,1156120117,POINT (108.7167 34.35)
213,Baojishi,Baojishi,34.3609,107.1751,China,CN,CHN,Shaanxi,,3738700.0,1156101096,POINT (107.1751 34.3609)
82,Shangqiu,Shangqiu,34.4259,115.6467,China,CN,CHN,Henan,,7000000.0,1156805441,POINT (115.6467 34.4259)
134,Weinan,Weinan,34.4996,109.4684,China,CN,CHN,Shaanxi,minor,5300000.0,1156903687,POINT (109.4684 34.4996)
232,Qincheng,Qincheng,34.5809,105.7311,China,CN,CHN,Gansu,minor,3400000.0,1156104017,POINT (105.7311 34.5809)
587,Beidao,Beidao,34.6,105.92,China,CN,CHN,Gansu,minor,1225000.0,1156137209,POINT (105.92 34.6)
88,Luoyang,Luoyang,34.6587,112.4245,China,CN,CHN,Henan,,6549941.0,1156069315,POINT (112.4245 34.6587)
81,Zhengzhou,Zhengzhou,34.7492,113.6605,China,CN,CHN,Henan,admin,7005000.0,1156183137,POINT (113.6605 34.7492)
352,Sanmenxia,Sanmenxia,34.7736,111.195,China,CN,CHN,Henan,,2213000.0,1156529682,POINT (111.195 34.7736)
166,Huanglongsi,Huanglongsi,34.7936,114.3403,China,CN,CHN,Henan,,4676159.0,1156198356,POINT (114.3403 34.7936)
156,Yuncheng,Yuncheng,35.0304,110.998,China,CN,CHN,Shanxi,,4860000.0,1156705644,POINT (110.998 35.0304)
225,Jiaozuo,Jiaozuo,35.229,113.2304,China,CN,CHN,Henan,,3540101.0,1156157854,POINT (113.2304 35.229)
47,Heze,Heze,35.2333,115.4333,China,CN,CHN,Shandong,minor,8750000.0,1156225008,POINT (115.4333 35.2333)
117,Nangandao,Nangandao,35.2992,113.8851,China,CN,CHN,Henan,minor,5516000.0,1156127660,POINT (113.8851 35.2992)
55,Jining,Jining,35.4,116.5667,China,CN,CHN,Shandong,,8023000.0,1156504601,POINT (116.5667 35.4)
367,Jincheng,Jincheng,35.4906,112.8483,China,CN,CHN,Shanxi,minor,2120000.0,1156163376,POINT (112.8483 35.4906)
355,Pingliang,Pingliang,35.5412,106.6819,China,CN,CHN,Gansu,minor,2190000.0,1156216904,POINT (106.6819 35.5412)
269,Dingxi,Dingxi,35.5806,104.6263,China,CN,CHN,Gansu,minor,2930000.0,1156518274,POINT (104.6263 35.5806)
318,Qinbaling,Qinbaling,35.7278,107.64,China,CN,CHN,Gansu,,2500000.0,1156032582,POINT (107.64 35.7278)
521,Hebi,Hebi,35.7497,114.2887,China,CN,CHN,Henan,,1419000.0,1156114258,POINT (114.2887 35.7497)
223,Puyang,Puyang,35.7639,115.03,China,CN,CHN,Henan,minor,3580000.0,1156431924,POINT (115.03 35.7639)
517,Guyuan,Guyuan,36.008,106.2782,China,CN,CHN,Ningxia,,1426000.0,1156817541,POINT (106.2782 36.008)
220,Lanzhou,Lanzhou,36.0617,103.8318,China,CN,CHN,Gansu,admin,3616163.0,1156280566,POINT (103.8318 36.0617)
618,Kaiyuan,Kaiyuan,36.0656,113.8153,China,CN,CHN,Henan,minor,1160000.0,1156441554,POINT (113.8153 36.0656)
187,Linfen,Linfen,36.0812,111.5087,China,CN,CHN,Shanxi,,4316610.0,1156416074,POINT (111.5087 36.0812)
242,Changzhi,Changzhi,36.1953,113.097,China,CN,CHN,Shanxi,minor,3230000.0,1156057944,POINT (113.097 36.1953)
104,Liaocheng,Liaocheng,36.45,115.9833,China,CN,CHN,Shandong,minor,5955300.0,1156006600,POINT (115.9833 36.45)
425,Baiyin,Baiyin,36.5448,104.1766,China,CN,CHN,Gansu,minor,1799000.0,1156140738,POINT (104.1766 36.5448)
362,Yan’an,Yan'an,36.5952,109.4863,China,CN,CHN,Shaanxi,,2150000.0,1156546342,POINT (109.4863 36.5952)
42,Handan,Handan,36.6116,114.4894,China,CN,CHN,Hebei,minor,9549700.0,1156957080,POINT (114.4894 36.6116)
360,Xining,Xining,36.6239,101.7787,China,CN,CHN,Qinghai,admin,2154000.0,1156081448,POINT (101.7787 36.6239)
121,Dezhou,Dezhou,37.4513,116.3105,China,CN,CHN,Shandong,minor,5470000.0,1156524080,POINT (116.3105 37.4513)
685,Zhongwei,Zhongwei,37.5139,105.1884,China,CN,CHN,Ningxia,minor,1046000.0,1156956616,POINT (105.1884 37.5139)
174,Hengshui,Hengshui,37.7348,115.686,China,CN,CHN,Hebei,,4472000.0,1156803028,POINT (115.686 37.7348)
560,Yangquan,Yangquan,37.8576,113.5762,China,CN,CHN,Shanxi,minor,1300000.0,1156157844,POINT (113.5762 37.8576)
233,Taiyuan,Taiyuan,37.8733,112.5425,China,CN,CHN,Shanxi,admin,3398000.0,1156632014,POINT (112.5425 37.8733)
410,Wuwei,Wuwei,37.9278,102.6329,China,CN,CHN,Gansu,minor,1890000.0,1156760291,POINT (102.6329 37.9278)
564,Wuzhong,Wuzhong,37.9874,106.1919,China,CN,CHN,Ningxia,minor,1284000.0,1156139322,POINT (106.1919 37.9874)
38,Shijiazhuang,Shijiazhuang,38.0422,114.5086,China,CN,CHN,Hebei,admin,10784600.0,1156217541,POINT (114.5086 38.0422)
239,Yulinshi,Yulinshi,38.2655,109.7388,China,CN,CHN,Shaanxi,,3328000.0,1156280672,POINT (109.7388 38.2655)
255,Xinzhou,Xinzhou,38.4178,112.7233,China,CN,CHN,Shanxi,minor,3067501.0,1156617534,POINT (112.7233 38.4178)
464,Yinchuan,Yinchuan,38.4795,106.2254,China,CN,CHN,Ningxia,admin,1616000.0,1156359072,POINT (106.2254 38.4795)
614,Dingzhou,Dingzhou,38.5158,114.9845,China,CN,CHN,Hebei,,1165182.0,1156656582,POINT (114.9845 38.5158)
30,Baoding,Baoding,38.8671,115.4845,China,CN,CHN,Hebei,,11860000.0,1156256829,POINT (115.4845 38.8671)
568,Zhangye,Zhangye,38.9355,100.4553,China,CN,CHN,Gansu,minor,1270000.0,1156180353,POINT (100.4553 38.9355)
441,Shuozhou,Shuozhou,39.3408,112.4292,China,CN,CHN,Shanxi,minor,1714857.0,1156227167,POINT (112.4292 39.3408)
184,Langfang,Langfang,39.5196,116.7006,China,CN,CHN,Hebei,,4358839.0,1156109017,POINT (116.7006 39.5196)
10,Beijing,Beijing,39.905,116.3914,China,CN,CHN,Beijing,primary,19433000.0,1156228865,POINT (116.3914 39.905)
414,Xiping,Xiping,40.08,113.3,China,CN,CHN,Shanxi,minor,1873000.0,1156898522,POINT (113.3 40.08)
296,Baotou,Baotou,40.6562,109.8345,China,CN,CHN,Inner Mongolia,,2700000.0,1156032751,POINT (109.8345 40.6562)
185,Zhangjiakou,Zhangjiakou,40.8108,114.8811,China,CN,CHN,Hebei,,4345491.0,1156800221,POINT (114.8811 40.8108)
302,Hohhot,Hohhot,40.8151,111.6629,China,CN,CHN,Inner Mongolia,admin,2635000.0,1156210167,POINT (111.6629 40.8151)
249,Ürümqi,Urumqi,43.8225,87.6125,China,CN,CHN,Xinjiang,admin,3112559.0,1156051276,POINT (87.6125 43.8225)
201,Zhuzhou,Zhuzhou,27.8407,113.1469,China,CN,CHN,Hunan,minor,4028500.0,1156041962,POINT (113.1469 27.8407)
280,Xiangtan,Xiangtan,27.8431,112.9228,China,CN,CHN,Hunan,,2881500.0,1156195684,POINT (112.9228 27.8431)
200,Fuzhou,Fuzhou,27.9814,116.3577,China,CN,CHN,Jiangxi,,4047200.0,1156915325,POINT (116.3577 27.9814)
612,Guankou,Guankou,28.1417,113.625,China,CN,CHN,Hunan,minor,1168056.0,1156249346,POINT (113.625 28.1417)
490,Jianguang,Jianguang,28.1958,115.7833,China,CN,CHN,Jiangxi,,1507402.0,1156545200,POINT (115.7833 28.1958)
52,Changsha,Changsha,28.1987,112.9709,China,CN,CHN,Hunan,admin,8394500.0,1156961497,POINT (112.9709 28.1987)
536,Yutan,Yutan,28.3147,112.554,China,CN,CHN,Hunan,minor,1368117.0,1156592042,POINT (112.554 28.3147)
179,Yiyang,Yiyang,28.5833,112.3333,China,CN,CHN,Hunan,,4420700.0,1156218615,POINT (112.3333 28.5833)
145,Nanchang,Nanchang,28.6842,115.8872,China,CN,CHN,Jiangxi,admin,5042565.0,1156198892,POINT (115.8872 28.6842)
177,Yibin,Yibin,28.7596,104.64,China,CN,CHN,Sichuan,minor,4456000.0,1156107603,POINT (104.64 28.7596)
190,Luzhou,Luzhou,28.8918,105.4409,China,CN,CHN,Sichuan,minor,4291000.0,1156582079,POINT (105.4409 28.8918)
102,Changde,Changde,29.0397,111.6839,China,CN,CHN,Hunan,minor,6011000.0,1156449091,POINT (111.6839 29.0397)
